"1","12-1/2 Diameter Round Wall Clock","19.98","Furniture","Office Furnishings","Small Box","0.49"
"2","36X48 HARDFLOOR CHAIRMAT","20.98","Furniture","Office Furnishings","Medium Box","0.78"
"3","3M Hangers With Command Adhesive","3.7","Furniture","Office Furnishings","Wrap Bag","0.44"
"4","3M Polarizing Light Filter Sleeves","18.65","Furniture","Office Furnishings","Small Pack","0.39"
"5","3M Polarizing Task Lamp with Clamp Arm, Light Gray","136.98","Furniture","Office Furnishings","Large Box","0.59"
"6","6"" Cubicle Wall Clock, Black","8.09","Furniture","Office Furnishings","Small Box","0.49"
"7","9-3/4 Diameter Round Wall Clock","13.79","Furniture","Office Furnishings","Small Box","0.43"
"8","Advantus Employee of the Month Certificate Frame, 11 x 13-1/2","30.93","Furniture","Office Furnishings","Small Pack","0.44"
"9","Advantus Panel Wall Acrylic Frame","5.47","Furniture","Office Furnishings","Small Pack","0.42"
"10","Advantus Panel Wall Certificate Holder - 8.5x11","12.2","Furniture","Office Furnishings","Small Pack","0.43"
"11","Aluminum Document Frame","12.22","Furniture","Office Furnishings","Small Pack","0.55"
"12","Anderson Hickey Conga Table Tops & Accessories","15.23","Furniture","Tables","Jumbo Box","0.76"
"13","Artistic Insta-Plaque","15.68","Furniture","Office Furnishings","Small Pack","0.46"
"14","Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors","240.98","Furniture","Bookcases","Jumbo Box","0.56"
"15","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","260.98","Furniture","Bookcases","Jumbo Box","0.59"
"16","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","300.98","Furniture","Bookcases","Jumbo Box","0.55"
"17","Balt Solid Wood Rectangular Table","105.49","Furniture","Tables","Jumbo Box","0.75"
"18","Balt Split Level Computer Training Table","138.75","Furniture","Tables","Jumbo Box","0.74"
"19","Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf","100.8","Furniture","Tables","Jumbo Drum","0.59"
"20","Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops","85.29","Furniture","Tables","Jumbo Drum","0.56"
"21","Bevis 36 x 72 Conference Tables","124.49","Furniture","Tables","Jumbo Box","0.63"
"22","Bevis Boat-Shaped Conference Table","262.11","Furniture","Tables","Jumbo Box","0.75"
"23","Bevis Rectangular Conference Tables","145.98","Furniture","Tables","Jumbo Box","0.69"
"24","Bevis Round Bullnose 29"" High Table Top","259.71","Furniture","Tables","Jumbo Box","0.61"
"25","Bevis Round Conference Room Tables and Bases","179.29","Furniture","Tables","Jumbo Box","0.71"
"26","Bevis Round Conference Table Top & Single Column Base","146.34","Furniture","Tables","Jumbo Box","0.65"
"27","Bevis Round Conference Table Top, X-Base","179.29","Furniture","Tables","Jumbo Box","0.74"
"28","Bevis Steel Folding Chairs","95.95","Furniture","Chairs & Chairmats","Jumbo Drum","0.57"
"29","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","218.75","Furniture","Tables","Jumbo Box","0.77"
"30","BPI Conference Tables","146.05","Furniture","Tables","Jumbo Box","0.71"
"31","Bretford ?Just In Time? Height-Adjustable Multi-Task Work Tables","417.4","Furniture","Tables","Jumbo Box","0.79"
"32","Bretford CR4500 Series Slim Rectangular Table","348.21","Furniture","Tables","Jumbo Box","0.66"
"33","Bretford CR8500 Series Meeting Room Furniture","400.98","Furniture","Tables","Jumbo Box","0.71"
"34","Bretford Rectangular Conference Table Tops","376.13","Furniture","Tables","Jumbo Box","0.74"
"35","Bush Advantage Collection? Racetrack Conference Table","424.21","Furniture","Tables","Jumbo Box","0.67"
"36","Bush Advantage Collection? Round Conference Table","212.6","Furniture","Tables","Jumbo Box","0.64"
"37","Bush Cubix Collection Bookcases, Fully Assembled","220.98","Furniture","Bookcases","Jumbo Box","0.62"
"38","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","140.98","Furniture","Bookcases","Jumbo Box","0.65"
"39","Bush Mission Pointe Library","150.98","Furniture","Bookcases","Jumbo Box","0.65"
"40","Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled","100.98","Furniture","Bookcases","Jumbo Box","0.78"
"41","Bush Westfield Collection Bookcases, Fully Assembled","100.98","Furniture","Bookcases","Jumbo Box","0.62"
"42","Bush? Cubix Conference Tables, Fully Assembled","230.98","Furniture","Tables","Jumbo Box","0.6"
"43","Career Cubicle Clock, 8 1/4"", Black","20.28","Furniture","Office Furnishings","Small Box","0.47"
"44","Chromcraft 48"" x 96"" Racetrack Double Pedestal Table","320.64","Furniture","Tables","Jumbo Box","0.63"
"45","Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables","550.98","Furniture","Tables","Jumbo Box","0.8"
"46","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","550.98","Furniture","Tables","Jumbo Box","0.71"
"47","Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base","217.85","Furniture","Tables","Jumbo Box","0.68"
"48","Chromcraft Rectangular Conference Tables","236.97","Furniture","Tables","Jumbo Box","0.61"
"49","C-Line Cubicle Keepers Polyproplyene Holder w/Velcro? Back, 8-1/2x11, 25/Bx","54.74","Furniture","Office Furnishings","Small Box","0.54"
"50","Coloredge Poster Frame","14.2","Furniture","Office Furnishings","Wrap Bag","0.46"
"51","Computer Room Manger, 14""","32.48","Furniture","Office Furnishings","Small Box","0.49"
"52","Contemporary Wood/Metal Frame","16.16","Furniture","Office Furnishings","Small Box","0.5"
"53","Dana Fluorescent Magnifying Lamp, White, 36""","3.36","Furniture","Office Furnishings","Large Box","0.55"
"54","Dana Halogen Swing-Arm Architect Lamp","40.97","Furniture","Office Furnishings","Large Box","0.57"
"55","Dana Swing-Arm Lamps","10.68","Furniture","Office Furnishings","Large Box","0.6"
"56","DAX Charcoal/Nickel-Tone Document Frame, 5 x 7","9.48","Furniture","Office Furnishings","Small Pack","0.4"
"57","DAX Clear Channel Poster Frame","14.58","Furniture","Office Furnishings","Small Box","0.48"
"58","DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size","20.24","Furniture","Office Furnishings","Small Pack","0.49"
"59","DAX Copper Panel Document Frame, 5 x 7 Size","12.58","Furniture","Office Furnishings","Small Box","0.43"
"60","DAX Cubicle Frames - 8x10","5.77","Furniture","Office Furnishings","Medium Box","0.55"
"61","DAX Cubicle Frames, 8-1/2 x 11","8.57","Furniture","Office Furnishings","Small Pack","0.49"
"62","DAX Metal Frame, Desktop, Stepped-Edge","20.24","Furniture","Office Furnishings","Small Pack","0.46"
"63","DAX Natural Wood-Tone Poster Frame","26.48","Furniture","Office Furnishings","Small Box","0.49"
"64","DAX Solid Wood Frames","9.77","Furniture","Office Furnishings","Medium Box","0.48"
"65","DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7","9.48","Furniture","Office Furnishings","Small Pack","0.45"
"66","DAX Value U-Channel Document Frames, Easel Back","4.97","Furniture","Office Furnishings","Medium Box","0.54"
"67","DAX Wood Document Frame","13.73","Furniture","Office Furnishings","Small Pack","0.49"
"68","DAX Wood Document Frame.","13.73","Furniture","Office Furnishings","Wrap Bag","0.54"
"69","Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting","105.34","Furniture","Office Furnishings","Large Box","0.61"
"70","Deflect-o EconoMat Nonstudded, No Bevel Mat","51.65","Furniture","Office Furnishings","Medium Box","0.65"
"71","Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting","41.32","Furniture","Office Furnishings","Medium Box","0.76"
"72","Deflect-o Glass Clear Studded Chair Mats","62.18","Furniture","Office Furnishings","Medium Box","0.63"
"73","Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting","92.23","Furniture","Office Furnishings","Medium Box","0.67"
"74","Deflect-o SuperTray? Unbreakable Stackable Tray, Letter, Black","29.18","Furniture","Office Furnishings","Small Box","0.42"
"75","Deflect-O? Glasstique? Clear Desk Accessories","7.7","Furniture","Office Furnishings","Wrap Bag","0.52"
"76","DMI Arturo Collection Mission-style Design Wood Chair","150.98","Furniture","Chairs & Chairmats","Jumbo Drum","0.59"
"77","DMI Eclipse Executive Suite Bookcases","500.98","Furniture","Bookcases","Jumbo Box","0.66"
"78","Document Clip Frames","8.34","Furniture","Office Furnishings","Wrap Bag","0.43"
"79","Eldon Advantage? Chair Mats for Low to Medium Pile Carpets","43.31","Furniture","Office Furnishings","Medium Box","0.75"
"80","Eldon Advantage? Foldable Chair Mats for Low Pile Carpets","54.2","Furniture","Office Furnishings","Medium Box","0.64"
"81","Eldon Antistatic Chair Mats for Low to Medium Pile Carpets","105.29","Furniture","Office Furnishings","Large Box","0.79"
"82","Eldon Cleatmat Plus? Chair Mats for High Pile Carpets","79.52","Furniture","Office Furnishings","Medium Box","0.74"
"83","Eldon Cleatmat? Chair Mats for Medium Pile Carpets","55.5","Furniture","Office Furnishings","Medium Box","0.72"
"84","Eldon ClusterMat Chair Mat with Cordless Antistatic Protection","90.98","Furniture","Office Furnishings","Medium Box","0.74"
"85","Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear","37.93","Furniture","Office Furnishings","Wrap Bag","0.67"
"86","Eldon Econocleat? Chair Mats for Low Pile Carpets","41.47","Furniture","Office Furnishings","Wrap Bag","0.73"
"87","Eldon Executive Woodline II Cherry Finish Desk Accessories","40.89","Furniture","Office Furnishings","Small Box","0.57"
"88","Eldon Expressions Mahogany Wood Desk Collection","6.24","Furniture","Office Furnishings","Small Box","0.6"
"89","Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry","9.38","Furniture","Office Furnishings","Small Box","0.57"
"90","Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry","10.64","Furniture","Office Furnishings","Small Box","0.57"
"91","Eldon Expressions? Desk Accessory, Wood Pencil Holder, Oak","9.65","Furniture","Office Furnishings","Small Box","0.55"
